Why am I asking questions?,2
Why am I asking questions?,2
who is it?,2
where am I?,0
what is today's date?,2
why are you so slow?,1
Is my name tim?,1
This is digital brutality!,2
Where in the world is Carmen Santiego?,1what is the meaning?,1
is Fred really Fred?,1
Is this much faster than previously?,1
why asking for clarification?,1
Am I a human?,1
How long is Scot going to live?,1
How am I?,1
Are fish funny?,1
How old am I?,1
What is the flight speed?,1
Why am I sleeping?,0
What color are oranges?,0
What color is water?,0
What is most common car color?,2
Where is Ted Lasso?,0
What channel is the super bowl on this year?,0
Who do you love?,2
Who is SRV?,2
Do you like big booties?,0
Are kitties nice?,2
What is your favorite movie?,0
Where am I currently located?,0
Why do you ask so many questions?,2
What type of dog do you like?,1
Do you like to eat dog meat?,0
What is Logan singing?,0
Have you seen the movie ghostbusters?,0
What is your favorite type of music?,0
Fred is the bomb?,1
Are the instructions unclear?,1
Is it cold outside?,0
What is Logan's favorite game?,1
What is Logan's favorite color?,2
Why do I type?,1
Why is carpet heavy?,0
Where do I live?,0
What is the optimal age for harvesting a dog?,1
"What is better, Android or iPhone?",0
What color am I thinking?,2
My name is?,2
Have you ever heard of slim shady?,0
Do you believe in life after love?,1
Is the sky blue?,0
Am i awesome,0
Which direction is the sky?,0
Is the sky green?,0
Should i jump off a bridge?,0
What is 17777 +4454151324?,0
How many teeth does a shark have?,0
How is a shark born?,0
Is the earth flat?,1
Is the earth round?,0
Are you gay,0
Am i gay,1
Do you have a name?,0
How many days til christmas?,0
When will i die?,1
How old am I,0
"If you could have dinner with any historical figure, who would it be?",0
"If you could visit any place in the world, where would you go?",0
What's your go-to comfort food?,1
"If you had a superpower, what would it be?",0
What's a skill you've always wanted to learn?,0
Do you prefer the beach or the mountains?,0
What's your favorite movie genre?,1
"If you could time travel, would you go to the past or the future?",1
What's the most adventurous thing you've ever done?,0
"If you could meet any fictional character, who would it be?",1
What's your favorite type of music?,1
"If you could have any job for a day, what would it be?",1
What's your spirit animal?,1
What's your favorite way to relax after a long day?,1
"If you could have a conversation with your younger self, what advice would you give?",1
What's your dream car?,1
Are you an early bird or a night owl?,1
"If you could have any pet, what would it be?",1
What's your favorite season and why?,1
What's the last TV show you binge-watched?,1
"If you could witness any historical event, what would it be?",1
What's your favorite dessert?,1
What's your biggest pet peeve?,1
"If you could have dinner with any fictional character, who would it be?",1
What's the most interesting place you've ever visited?,1
"If you could master any instrument, what would it be?",1
What's your favorite board game?,1
Do you have a favorite quote or motto?,1
"If you could have any talent in the world, what would it be?",2
What's your favorite childhood memory?,2
"If you could live in any era of history, when would it be?",2
What's the best piece of advice you've ever received?,2
"If you could change one thing about the world, what would it be?",2
Am i gay,2
are sharks real,0
are you real ,2
who is the president,0
how old are you ,2
can you drive ,0
can i run away ,0
how to drive stick shift car,0
who is cooler me or leah ,0
What is your name?,1
How do you work?,0
Can you tell me a joke?,0
What is your favorite color?,1
What's the meaning of life?,0
Can you recommend a good book?,1
Who is your favorite superhero?,1
Do you dream?,0
What is the capital of France?,0
Tell me a fun fact.,0
Can you speak any other languages?,0
What's the weather like today?,0
How do you learn new things?,0
What's your favorite movie?,1
How does artificial intelligence work?,0
What is your favorite movie?,1
Explain the concept of quantum computing.,0
How do you stay updated with the latest information?,0
What is the weather like today?,0
Can you recommend a good book to read?,0
